word,score
shmoe,4151
butle,4151
cured,4151
forge,4151
maces,4150
almeh,4150
hawse,4150
ulnar,4149
oncet,4149
nugae,4149
glent,4149
tarok,4149
cital,4149
cloke,4149
coned,4149
gomer,4149
foray,4148
loris,4147
beaus,4147
enols,4146
vireo,4146
leafs,4146
latex,4146
brans,4146
roven,4146
leman,4145
moles,4145
theca,4145
fetas,4145
tehrs,4145
toils,4145
clues,4145
urned,4145
wafer,4145
flake,4145
redos,4144
racon,4144
karst,4144
spect,4144
ribes,4143
conge,4143
splat,4143
crapy,4143
aspen,4142
gamey,4142
strag,4141
snark,4141
grist,4141
forme,4141
dinar,4140
frets,4140
phone,4140
platy,4140
heapy,4139
coude,4139
tides,4138
grens,4138
baron,4138
ahint,4138
iotas,4137
floes,4137
ranid,4137
voice,4137
decor,4137
radio,4136
ethal,4136
rotls,4136
hoyle,4136
altos,4136
tauon,4136
decay,4136
rokes,4136
dites,4136
retch,4136
runed,4136
