solar,928,2156,1084,1928,1600,336,376,564,156,48,20,12,36,0,12,0,0,0,0,0,4,19268
lader,1080,2244,752,2132,900,448,796,328,188,180,128,28,16,24,16,0,0,0,0,0,0,19268
grace,1208,2184,1184,1612,1152,632,424,336,224,132,56,40,24,20,28,0,0,0,0,0,4,19260
rayne,864,2328,924,1872,1492,356,564,600,136,16,28,36,28,12,0,4,0,0,0,0,0,19252
soral,928,2252,988,2008,1424,432,380,516,160,88,24,20,16,12,8,0,0,0,4,0,0,19248
crame,1252,2188,1168,1540,1108,644,464,368,208,152,56,48,16,12,32,0,0,4,0,0,0,19248
argle,1080,2080,996,1904,1344,364,580,488,184,32,68,68,36,12,8,0,16,0,0,0,0,19244
tamer,1100,2292,736,1984,1020,556,732,344,180,116,88,40,24,28,16,0,0,0,0,0,4,19244
sable,1188,2096,1524,1316,1356,456,356,452,324,48,32,52,28,20,12,0,0,0,0,0,0,19244
trave,1292,1984,1140,1740,1104,504,580,372,224,160,64,28,24,16,24,4,0,0,0,0,0,19244
loser,860,2324,676,2504,984,492,668,292,236,120,48,16,16,8,12,0,0,0,0,0,4,19236
ramet,1100,2172,856,1800,1376,384,664,512,144,52,76,60,48,8,4,0,0,0,4,0,0,19232
aeros,732,2188,556,2620,1060,200,1080,560,100,12,116,24,8,0,0,0,4,0,0,0,0,19228
armet,1100,2144,884,1792,1416,352,612,588,148,24,48,104,44,0,0,0,0,4,0,0,0,19228
pareo,896,2236,920,2120,1224,276,692,492,236,48,44,32,20,16,4,4,0,0,0,0,0,19224
roule,940,2160,1068,1988,1472,432,388,508,184,48,20,28,0,8,16,0,0,0,0,0,0,19224
earls,820,2060,740,2512,988,164,1084,580,88,8,128,72,12,0,4,0,0,0,0,0,0,19220
renal,848,2264,500,2648,1008,248,856,464,140,96,88,52,20,12,8,0,4,0,0,0,4,19220
large,1080,2012,1064,2076,1176,360,560,492,132,100,60,104,20,4,4,4,4,4,0,0,4,19220
route,1020,2148,1148,1820,1352,340,536,488,200,72,48,44,16,12,8,4,0,0,0,0,4,19208
loner,884,2488,672,2264,1108,476,588,256,268,160,36,24,12,4,20,0,0,0,0,0,0,19200
maise,916,2388,1280,1636,1460,576,252,348,236,80,24,20,28,4,12,0,0,0,0,0,0,19200
stage,1112,2480,1052,1536,1176,608,388,392,220,160,24,44,32,12,20,0,0,0,0,0,4,19200
ramie,872,2364,992,1852,1388,344,516,636,152,24,28,68,12,12,0,0,0,0,0,0,0,19196
prole,1136,2028,1272,1748,1272,616,468,312,204,100,28,36,12,12,16,0,0,0,0,0,0,19196
stair,1048,2332,916,1776,1444,348,460,468,252,80,36,32,40,16,8,0,0,0,0,0,4,19192
sored,1204,2048,1232,1560,1508,444,324,476,284,60,40,44,28,8,0,0,0,0,0,0,0,19192
retia,776,2220,488,2708,940,148,1144,412,172,32,112,76,16,12,0,4,0,0,0,0,0,19184
tores,984,2264,812,2084,1168,260,648,544,232,28,112,68,40,8,4,4,0,0,0,0,0,19184
pearl,1060,2336,708,1924,1348,288,596,500,236,40,64,76,56,20,0,0,4,0,0,0,4,19180
rated,1076,2276,708,1888,1236,320,820,436,252,40,96,52,32,20,0,4,4,0,0,0,0,19180
teals,884,2400,812,2024,1188,204,704,592,148,16,124,84,56,8,0,4,4,8,0,0,0,19176
urite,996,2260,1096,1832,1252,480,548,404,168,84,52,24,16,32,16,0,0,0,0,0,0,19172
ariot,768,2596,864,2004,1256,448,480,460,236,68,24,20,32,0,0,4,0,0,0,0,0,19168
drole,1188,1964,1232,1792,1188,604,524,360,212,104,36,28,4,8,12,4,0,0,0,0,0,19168
resay,836,2316,884,2248,1092,320,696,480,176,76,60,40,16,12,8,0,0,0,0,0,0,19164
blate,1112,2308,1368,1524,1020,552,436,420,224,112,40,72,24,12,28,0,4,4,0,0,0,19164
oared,968,2196,824,2096,1248,260,716,524,268,16,76,52,12,0,0,4,0,0,0,0,0,19156
braes,1112,2336,872,1604,1480,352,460,656,192,40,44,60,32,16,4,0,0,0,0,0,0,19152
vaire,1056,2212,1288,1588,1280,452,424,600,216,44,28,40,16,16,0,0,0,0,0,0,0,19148
liter,836,2532,576,2456,872,468,700,340,152,168,76,24,24,24,12,0,0,0,0,0,0,19144
slake,1248,2444,1244,1212,1296,544,264,440,248,196,8,44,24,24,24,0,0,0,0,0,0,19144
rouse,992,2284,1104,1832,1436,340,396,456,188,92,24,56,20,12,24,0,0,0,0,0,4,19140
renay,864,2288,964,2216,1148,356,608,388,268,52,32,32,20,8,12,0,4,0,0,0,0,19128
