round,guess_word,best_next_word,no_of_possibilities
2,roate 00010;shunt 10002,midst,3
3,roate 00010;shunt 10002;midst 01022,twist,1
3,roate 00010;shunt 10002;midst 02012,visit,1
3,roate 00010;shunt 10002;midst 22222,midst,1
2,roate 00010;shunt 20001,acold,3
3,roate 00010;shunt 20001;acold 00000,stiff,1
3,roate 00010;shunt 20001;acold 00020,still,1
3,roate 00010;shunt 20001;acold 01000,stick,1
2,roate 00010;shunt 20002,spilt,4
3,roate 00010;shunt 20002;spilt 20202,swift,1
3,roate 00010;shunt 20002;spilt 20222,stilt,1
3,roate 00010;shunt 20002;spilt 22112,split,1
3,roate 00010;shunt 20002;spilt 22222,spilt,1
2,roate 00010;shunt 20021,sting,2
3,roate 00010;shunt 20021;sting 22220,stink,1
3,roate 00010;shunt 20021;sting 22222,sting,1
2,roate 00010;shunt 20022,stint,1
