word,score
41+29=70,94774
53+26=79,94770
27+56=83,94768
12-7+3=8,94766
15-2*3=9,94756
26+53=79,94747
15+2-9=8,94741
4*8/2=16,94739
12-9+3=6,94734
6*9-1=53,94731
28+65=93,94723
102-4=98,94715
12+4-7=9,94715
2*3+4=10,94694
39+28=67,94685
62+35=97,94682
75+23=98,94675
65+32=97,94669
13-7+2=8,94658
9+3*4=21,94648
25+68=93,94646
12+4-9=7,94645
6+3*5=21,94642
21+49=70,94633
15+2-8=9,94627
15-4*2=7,94627
13-9+2=6,94626
29+38=67,94613
47+13=60,94613
4*6+7=31,94612
3*2+4=10,94608
58+12=70,94602
5*8-1=39,94598
1+6*7=43,94586
59+21=80,94582
102-8=94,94574
15-3*2=9,94567
90-32=58,94554
6*8/4=12,94552
80-23=57,94550
43+17=60,94549
8*4/2=16,94546
52+18=70,94538
23+56=79,94533
6*8-7=41,94533
73+25=98,94533
90-23=67,94526
18+72=90,94525
2*8-6=10,94507
3+9-2=10,94496
9*5+1=46,94494
7+6*2=19,94492
1+7*6=43,94491
17-3*5=2,94490
6*4+7=31,94486
8*6/4=12,94485
8*5-1=39,94476
4*9/3=12,94470
8*6-7=41,94466
12+78=90,94461
9*6-3=51,94460
2*7-4=10,94458
5*9+1=46,94456
9*4/3=12,94437
17-2*6=5,94429
12-8+3=7,94425
14-7+2=9,94419
80-27=53,94419
90-27=63,94395
18-3*4=6,94393
90-52=38,94380
7*5+1=36,94369
6*9-3=51,94367
17-2*4=9,94364
12-7+4=9,94352
5*7+1=36,94346
29+51=80,94345
90-38=52,94344
80-53=27,94337
19-2*8=3,94330
3*8/1=24,94327
7+2*6=19,94326
6*8+1=49,94325
32+65=97,94319
13-8+2=7,94317
35+62=97,94306
18-4*3=6,94299
9+3-2=10,94292
4*9+1=37,94287
17+63=80,94286
12+5-9=8,94267
8*6+1=49,94258
9*4+1=37,94254
68+27=95,94250
4+5*3=19,94246
51+29=80,94241
17-5*3=2,94227
52+37=89,94225
13+67=80,94222
80-57=23,94206
5+4*3=17,94190
1+9*5=46,94182
14+3-9=8,94180
90-63=27,94172
90-58=32,94170
57+29=86,94167
21-3*5=6,94158
7*2-4=10,94153
12+5-8=9,94153
174/6=29,94138
6*8+3=51,94137
57+32=89,94134
138/2=69,94124
46+39=85,94117
1+5*9=46,94113
78+12=90,94110
58+36=94,94106
56+38=94,94101
67+28=95,94095
59+27=86,94094
4+3*5=19,94090
5+7*2=19,94083
17-4*2=9,94081
1+5*7=36,94079
1+7*5=36,94072
186/2=93,94071
8*6+3=51,94070
5*8-9=31,94068
14+3-8=9,94066
4*8/1=32,94062
32+57=89,94060
25-4*6=1,94058
8*2-6=10,94057
18-7*2=4,94053
49+31=80,94049
36+49=85,94048
72+18=90,94046
90-67=23,94041
56+14=70,94037
14-9+2=7,94035
54+16=70,94024
5+3*4=17,94018
1+8*6=49,94018
5+2*7=19,94012
25+73=98,94010
21+59=80,94004
21-3*4=9,93985
39+41=80,93980
37+52=89,93969
12-9+4=7,93968
8*3/1=24,93963
16+74=90,93960
14+76=90,93947
8*5-9=31,93946
38+56=94,93941
36+58=94,93936
1+6*8=49,93936
27+59=86,93930
1+9*4=37,93926
90-34=56,93917
4*9/2=18,93914
13+4-9=8,93911
9*7+1=64,93898
21-5*3=6,93895
49+36=85,93894
21-4*3=9,93891
7*9+1=64,93883
9*4/2=18,93881
1+4*9=37,93873
8*4/1=32,93869
23+75=98,93868
29+57=86,93857
90-36=54,93853
9+8/2=13,93849
39+46=85,93825
15-8+2=9,93824
19-2*6=7,93819
28+67=95,93815
7*5+6=41,93804
12-8+5=9,93802
17-6*2=5,93800
13+4-8=9,93797
4*7-3=25,93793
156/2=78,93791
7+5-2=10,93787
15-9+2=8,93781
5*7+6=41,93781
4*8-3=29,93775
5+7-2=10,93764
12-9+5=8,93759
4-2+8=10,93750
7*4-3=25,93745
90-54=36,93743
7+4*3=19,93738
25-6*4=1,93712
8-2+4=10,93711
41+39=80,93708
90-56=34,93679
27+68=95,93660
67+13=80,93641
31+49=80,93639
47+39=86,93634
4*7-5=23,93628
4*8-9=23,93609
2*9-8=10,93605
4*6+8=32,93595
1+9*7=64,93593
25-3*8=1,93582
8*4-3=29,93582
7*4-5=23,93580
63+17=80,93577
6+8-4=10,93575
7+3*4=19,93566
37+49=86,93565
49+37=86,93561
76+14=90,93545
74+16=90,93532
9*5-3=42,93531
19-2*7=5,93521
1+7*9=64,93517
17-3*4=5,93513
3*7-1=20,93512
8+6-4=10,93508
4+9-3=10,93493
5*9-3=42,93493
39+47=86,93492
102-7=95,93478
6*4+8=32,93469
4*6+3=27,93464
9+4-3=10,93460
196/7=28,93454
14-8+3=9,93452
102-5=97,93444
19-3*5=4,93432
156/4=39,93427
17-4*3=5,93419
8*4-9=23,93416
14-9+3=8,93409
9*8/6=12,93390
9*5-2=43,93379
104-6=98,93370
416/8=52,93353
5*9-2=43,93341
6*4+3=27,93338
5*6-3=27,93332
19-8*2=3,93331
9*2-8=10,93315
9-2+3=10,93300
104-8=96,93293
7*3-1=20,93293
4+2*3=10,93283
3-2+9=10,93279
9*8+1=73,93278
6*5-3=27,93277
13-8+4=9,93277
7*6/1=42,93251
13-9+4=8,93234
8*9/6=12,93230
312/4=78,93222
4*7/1=28,93219
7+6*4=31,93215
4+3*2=10,93205
4*8-7=25,93204
5*6-7=23,93201
19-6*2=7,93190
10+2-4=8,93176
10-2*3=4,93175
6*7/1=42,93173
261/3=87,93173
7*4/1=28,93171
4*8-5=27,93170
19-5*3=4,93169
6*5-7=23,93146
512/8=64,93145
3*6-8=10,93144
7+4*6=31,93143
5+8-3=10,93131
8*9+1=73,93118
3*5+9=24,93117
3*7+4=25,93104
7*6/3=14,93098
10-4+2=8,93089
28-3*9=1,93074
7+6-3=10,93056
10+2-8=4,93046
7*8+5=61,93023
6*7/3=14,93020
8*4-7=25,93011
8+5-3=10,93009
174/3=58,93002
10-3*2=4,92986
4*9+2=38,92985
6+7-3=10,92978
8*4-5=27,92977
9*4+2=38,92952
6*8+4=52,92926
7*8-2=54,92915
19-3*4=7,92903
1+8*9=73,92897
7*3+4=25,92885
8*7+5=61,92878
158/2=79,92876
5*3+9=24,92875
3+8*6=51,92864
8*6+4=52,92859
6*3-8=10,92847
7*8-4=52,92846
4*6+5=29,92829
9+5-4=10,92824
19-4*3=7,92809
1+9*8=73,92796
3*7+5=26,92789
103-5=98,92787
5+9-4=10,92786
3+12-9=6,92782
3+6*8=51,92782
25-8*3=1,92772
8*7-2=54,92770
3*6+7=25,92764
56+24=80,92762
54+26=80,92749
3+12-6=9,92732
2+13-9=6,92710
6*4+5=29,92703
8*7-4=52,92701
103-7=96,92701
19-7*2=5,92679
5*8-4=36,92674
12-3*4=0,92670
2+13-6=9,92660
7-2+5=10,92639
4*6-21=3,92633
5-2+7=10,92623
29-4*7=1,92619
5*8-6=34,92610
7*6+9=51,92608
3*9/1=27,92593
103-8=95,92590
12-4*3=0,92576
7*3+5=26,92570
6*8-3=45,92558
8*5-4=36,92552
103-6=97,92547
6*7+9=51,92530
26+54=80,92525
24+56=80,92512
6*4-21=3,92507
3+12-7=8,92500
6+5*7=41,92495
8*6-3=45,92491
10-3+2=9,92491
8*5-6=34,92488
6+7*5=41,92488
10+2-3=9,92484
9+6-5=10,92477
6*3+7=25,92467
2+13-7=8,92428
4*6-23=1,92407
9*6/3=18,92401
6*8-5=43,92393
9*3/1=27,92389
6+9-5=10,92384
8-4+6=10,92366
3*8+5=29,92353
6-4+8=10,92351
31-4*6=7,92327
8*6-5=43,92326
3+12-8=7,92316
6*9/3=18,92308
4*9/1=36,92298
7*5-9=26,92291
6*4-23=1,92281
10+2-9=3,92273
5*7-9=26,92268
9*4/1=36,92265
2+13-8=7,92244
10-8+2=4,92243
7*6-4=38,92232
8+6*4=32,92230
3*6+9=27,92227
9-3+4=10,92218
4-3+9=10,92198
7*5-6=29,92172
8+4*6=32,92158
6*7-4=38,92154
5*7-6=29,92149
3+6*4=27,92137
13-8/2=9,92119
28-9*3=1,92107
